ESNTL_NO,WRD_NM,AFRM_SCORE_VALUE,NEGA_SCORE_VALUE
"56592","크랠릭","0.00002","0.00011"
"56593","크램","0.00001","0.00000"
"56594","크랩","0.00006","0.00004"
"56595","크랭크","0.00001","0.00004"
"56596","크러쉬","0.00009","0.00004"
"56597","크러스트","0.00002","0.00002"
"56598","크러시","0.00002","0.00006"
"56599","크런치","0.00004","0.00002"
"56600","크레","0.00022","0.00011"
"56601","크레디트","0.00008","0.00013"
"56602","크레마","0.00002","0.00024"
"56603","크레머","0.00002","0.00000"
"56604","크레모나","0.00001","0.00002"
"56605","크레바스","0.00005","0.00004"
"56606","크레센도","0.00002","0.00002"
"56607","크레스","0.00030","0.00037"
"56608","크레스트","0.00006","0.00006"
"56609","크레시다","0.00003","0.00000"
"56610","크레올","0.00002","0.00007"
"56611","크레용","0.00100","0.00097"
"56612","크레이","0.00010","0.00007"
"56613","크레이그","0.00035","0.00050"
"56614","크레이머","0.00003","0.00000"
"56615","크레이브","0.00001","0.00000"
"56616","크레이븐","0.00003","0.00002"
"56617","크레이스","0.00000","0.00024"
"56618","크레이지","0.00012","0.00015"
"56619","크레이크","0.00005","0.00006"
"56620","크레이터","0.00008","0.00006"
"56621","크레이프","0.00004","0.00000"
"56622","크레인","0.00040","0.00028"
"56623","크레타","0.00046","0.00026"
"56624","크레파스","0.00125","0.00084"
"56625","크레프","0.00002","0.00000"
"56626","크렌","0.00002","0.00002"
"56627","크렌쇼","0.00004","0.00000"
"56628","크렘","0.00005","0.00002"
"56629","크렘린","0.00007","0.00000"
"56630","크로","0.00068","0.00069"
"56631","크로거","0.00002","0.00000"
"56632","크로그","0.00001","0.00011"
"56633","크로나","0.00006","0.00011"
"56634","크로네","0.00002","0.00000"
"56635","크로노스","0.00055","0.00058"
"56636","크로니클","0.00015","0.00017"
"56637","크로닌","0.00003","0.00000"
"56638","크로마","0.00002","0.00000"
"56639","크로마뇽","0.00005","0.00004"
"56640","크로마토그래피","0.00002","0.00004"
"56641","크로머","0.00016","0.00009"
"56642","크로버","0.00001","0.00002"
"56643","크로세","0.00006","0.00011"
"56644","크로셰","0.00001","0.00000"
"56645","크로스","0.00087","0.00099"
"56646","크로스비","0.00005","0.00013"
"56647","크로싱","0.00002","0.00002"
"56648","크로아티아","0.00036","0.00039"
"56649","크로우","0.00019","0.00011"
"56650","크로이소스","0.00004","0.00004"
"56651","크로이츠","0.00002","0.00000"
"56652","크로종","0.00001","0.00004"
"56653","크로체","0.00002","0.00007"
"56654","크로커","0.00002","0.00002"
"56655","크로커다일","0.00017","0.00000"
"56656","크로커스","0.00002","0.00002"
"56657","크로케","0.00002","0.00000"
"56658","크로켓","0.00014","0.00006"
"56659","크로크","0.00002","0.00009"
"56660","크로키","0.00007","0.00011"
"56661","크로톤","0.00002","0.00000"
"56662","크로포드","0.00001","0.00002"
"56663","크로포트","0.00001","0.00000"
"56664","크로포트킨","0.00001","0.00000"
"56665","크로프트","0.00004","0.00000"
"56666","크론","0.00004","0.00000"
"56667","크론병","0.00003","0.00002"
"56668","크롤","0.00003","0.00002"
"56669","크롤러","0.00008","0.00002"
"56670","크롤리","0.00004","0.00011"
"56671","크롤링","0.00008","0.00002"
"56672","크롬","0.00020","0.00026"
"56673","크롬비","0.00001","0.00000"
"56674","크롬웰","0.00008","0.00002"
